Username,Tweet,Clean_Tweet,Sentiment_Score,Sentiment
user_1657,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_7919,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_3130,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_1818,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_2685,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_6022,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_2718,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_7298,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_4473,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_7405,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_8272,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_3238,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_5131,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_7156,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_8271,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_4644,Dropped my iPhone 16 already. RIP screen.,dropped iphone already rip screen,0.0,Neutral
user_6225,Just unboxed my iPhone 16. It's beautiful!,unboxed iphone beautiful,0.5994,Positive
user_9106,Why did they remove the physical SIM slot in iPhone 16?,remove physical sim slot iphone,0.0,Neutral
user_7203,Why did they remove the physical SIM slot in iPhone 16?,remove physical sim slot iphone,0.0,Neutral
user_9046,Dropped my iPhone 16 already. RIP screen.,dropped iphone already rip screen,0.0,Neutral
user_6518,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_4058,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_6419,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_9213,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_5332,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_6424,Dynamic Island feels more useful now on iPhone 16.,dynamic island feels useful iphone,0.6705,Positive
user_2855,iPhone 16 is a game-changer. Love the new features!,iphone gamechanger love new features,0.6369,Positive
user_8559,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_5805,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_3023,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_4634,Why did they remove the physical SIM slot in iPhone 16?,remove physical sim slot iphone,0.0,Neutral
user_4557,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_9438,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_3109,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_5534,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_3102,Just unboxed my iPhone 16. It's beautiful!,unboxed iphone beautiful,0.5994,Positive
user_4139,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_5621,iPhone 16 is a game-changer. Love the new features!,iphone gamechanger love new features,0.6369,Positive
user_2020,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_1050,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_2419,Why did they remove the physical SIM slot in iPhone 16?,remove physical sim slot iphone,0.0,Neutral
user_7850,Just unboxed my iPhone 16. It's beautiful!,unboxed iphone beautiful,0.5994,Positive
user_1794,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_3298,Dropped my iPhone 16 already. RIP screen.,dropped iphone already rip screen,0.0,Neutral
user_9159,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_9558,Dynamic Island feels more useful now on iPhone 16.,dynamic island feels useful iphone,0.6705,Positive
user_4363,Just unboxed my iPhone 16. It's beautiful!,unboxed iphone beautiful,0.5994,Positive
user_8379,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_6309,Dropped my iPhone 16 already. RIP screen.,dropped iphone already rip screen,0.0,Neutral
user_9961,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_5264,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_5201,iPhone 16 is a game-changer. Love the new features!,iphone gamechanger love new features,0.6369,Positive
user_6570,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_9305,Why did they remove the physical SIM slot in iPhone 16?,remove physical sim slot iphone,0.0,Neutral
user_8716,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_7113,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_3162,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_1185,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_4900,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_4014,Upgraded to iPhone 16 from 13. Totally worth it.,upgraded iphone totally worth,0.2944,Positive
user_6193,Dynamic Island feels more useful now on iPhone 16.,dynamic island feels useful iphone,0.6705,Positive
user_9634,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_9977,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_8971,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_6700,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_6909,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_2661,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_6867,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_1226,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_2881,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_5277,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_2455,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_6566,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_2927,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_2014,The speakers on iPhone 16 are really loud!,speakers iphone really loud,0.0,Neutral
user_6641,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_1859,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_1812,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_9136,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_1053,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_6088,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_6796,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_7760,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_1782,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_7583,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_3768,Dropped my iPhone 16 already. RIP screen.,dropped iphone already rip screen,0.0,Neutral
user_3532,iPhone 16 is a game-changer. Love the new features!,iphone gamechanger love new features,0.6369,Positive
user_4626,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_9438,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_1241,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_2732,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_5213,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_3013,Just unboxed my iPhone 16. It's beautiful!,unboxed iphone beautiful,0.5994,Positive
user_7922,Why did they remove the physical SIM slot in iPhone 16?,remove physical sim slot iphone,0.0,Neutral
user_9629,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_7010,Why did they remove the physical SIM slot in iPhone 16?,remove physical sim slot iphone,0.0,Neutral
user_2392,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_1371,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_3665,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_4273,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_8516,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_1036,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_5312,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_5939,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_5875,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_9416,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_7602,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_4307,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_6239,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_5019,Why did they remove the physical SIM slot in iPhone 16?,remove physical sim slot iphone,0.0,Neutral
user_8563,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_1312,Upgraded to iPhone 16 from 13. Totally worth it.,upgraded iphone totally worth,0.2944,Positive
user_2373,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_4849,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_4281,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_4780,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_8806,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_3271,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_4848,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_7925,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_3208,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_9657,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_8243,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_1362,The speakers on iPhone 16 are really loud!,speakers iphone really loud,0.0,Neutral
user_4595,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_3057,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_1157,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_7613,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_4831,Upgraded to iPhone 16 from 13. Totally worth it.,upgraded iphone totally worth,0.2944,Positive
user_8802,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_7691,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_9060,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_6428,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_7094,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_3162,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_8069,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_9314,iPhone 16 is a game-changer. Love the new features!,iphone gamechanger love new features,0.6369,Positive
user_7517,Why did they remove the physical SIM slot in iPhone 16?,remove physical sim slot iphone,0.0,Neutral
user_4805,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_5195,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_1310,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_1770,Upgraded to iPhone 16 from 13. Totally worth it.,upgraded iphone totally worth,0.2944,Positive
user_9960,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_8897,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_8471,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_8716,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_1078,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_4742,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_1607,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_8565,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_2917,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_3916,Upgraded to iPhone 16 from 13. Totally worth it.,upgraded iphone totally worth,0.2944,Positive
user_5114,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_3112,Upgraded to iPhone 16 from 13. Totally worth it.,upgraded iphone totally worth,0.2944,Positive
user_2391,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_9183,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_1271,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_6410,Dropped my iPhone 16 already. RIP screen.,dropped iphone already rip screen,0.0,Neutral
user_9260,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_6386,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_2758,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_2293,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_4142,Dynamic Island feels more useful now on iPhone 16.,dynamic island feels useful iphone,0.6705,Positive
user_1982,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_9831,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_6664,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_3251,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_5938,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_4124,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_1706,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_4938,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_1503,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_5704,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_6151,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_9456,Dynamic Island feels more useful now on iPhone 16.,dynamic island feels useful iphone,0.6705,Positive
user_5727,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_1787,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_9709,Dropped my iPhone 16 already. RIP screen.,dropped iphone already rip screen,0.0,Neutral
user_5379,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_3731,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_1817,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_3965,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_1823,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_7663,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_5855,The speakers on iPhone 16 are really loud!,speakers iphone really loud,0.0,Neutral
user_7503,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_4552,The speakers on iPhone 16 are really loud!,speakers iphone really loud,0.0,Neutral
user_1894,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_4198,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_7761,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_8745,iPhone 16 is a game-changer. Love the new features!,iphone gamechanger love new features,0.6369,Positive
user_2588,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_8785,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_6256,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_4518,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_7540,Dropped my iPhone 16 already. RIP screen.,dropped iphone already rip screen,0.0,Neutral
user_3920,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_6897,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_3848,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_9515,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_1049,The speakers on iPhone 16 are really loud!,speakers iphone really loud,0.0,Neutral
user_1620,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_3929,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_6539,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_8114,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_4867,The speakers on iPhone 16 are really loud!,speakers iphone really loud,0.0,Neutral
user_4257,iPhone 16 is a game-changer. Love the new features!,iphone gamechanger love new features,0.6369,Positive
user_1895,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_8272,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_9231,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_9516,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_9095,Why did they remove the physical SIM slot in iPhone 16?,remove physical sim slot iphone,0.0,Neutral
user_1925,Dynamic Island feels more useful now on iPhone 16.,dynamic island feels useful iphone,0.6705,Positive
user_5169,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_1557,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_1882,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_4674,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_1967,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_7263,Why did they remove the physical SIM slot in iPhone 16?,remove physical sim slot iphone,0.0,Neutral
user_5146,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_8454,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_3448,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_7176,Just unboxed my iPhone 16. It's beautiful!,unboxed iphone beautiful,0.5994,Positive
user_3604,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_5635,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_5205,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_7655,Upgraded to iPhone 16 from 13. Totally worth it.,upgraded iphone totally worth,0.2944,Positive
user_2415,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_5579,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_6006,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_1717,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_9648,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_7829,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_5341,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_6021,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_6580,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_4399,Dropped my iPhone 16 already. RIP screen.,dropped iphone already rip screen,0.0,Neutral
user_6535,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_8968,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_3240,Dropped my iPhone 16 already. RIP screen.,dropped iphone already rip screen,0.0,Neutral
user_2895,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_4531,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_3925,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_7377,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_1860,Why did they remove the physical SIM slot in iPhone 16?,remove physical sim slot iphone,0.0,Neutral
user_9566,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_7632,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_6550,Dropped my iPhone 16 already. RIP screen.,dropped iphone already rip screen,0.0,Neutral
user_5348,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_4950,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_1438,Upgraded to iPhone 16 from 13. Totally worth it.,upgraded iphone totally worth,0.2944,Positive
user_7825,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_5138,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_8868,Just unboxed my iPhone 16. It's beautiful!,unboxed iphone beautiful,0.5994,Positive
user_9979,Just unboxed my iPhone 16. It's beautiful!,unboxed iphone beautiful,0.5994,Positive
user_7585,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_3034,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_2920,Dynamic Island feels more useful now on iPhone 16.,dynamic island feels useful iphone,0.6705,Positive
user_9377,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
